Employee_ID,Salary,Bonus,Overtime,Attendance,Experience,Leaves,Tax,Net_Pay,anomaly,Validation_Flag,Total_Pay,Pay_Deviation,Tax_Ratio,Attendance_Ratio,Risk_Score,Fraud_Label,Country_India,Country_UAE,Country_UK,Country_USA,Department_HR,Department_IT,Department_Ops,Department_Sales,Anomaly,Cluster,Decision
0,104489,13366,11284,23,5,9,31346.699999999997,97792.3,1,Valid,129139,-31346.699999999997,0.3,0.7666666666666667,0.3643377771822871,0,False,False,False,False,False,True,False,False,1,3,Approve
1,38381,24589,5710,18,17,1,1919.0500000000002,66760.95,-1,Valid,68680,-1919.050000000003,0.05,0.6,0.8227217894270603,0,False,True,False,False,False,False,True,False,-1,0,Review
2,184310,11506,19549,21,15,3,40548.2,174816.8,1,Valid,215365,-40548.20000000001,0.21999999999999997,0.7,0.34133872280397154,0,False,False,True,False,False,False,False,True,1,2,Approve
3,174867,33842,15698,19,4,4,8743.35,456693.90991749335,-1,Valid,224407,232286.90991749335,0.05,0.6333333333333333,0.8878426059533703,1,False,True,False,False,False,False,False,True,-1,0,Review
4,92999,22458,2102,24,13,3,4649.95,112909.05,1,Valid,117559,-4649.949999999997,0.049999999999999996,0.8,0.46760196346197275,0,False,True,False,False,False,False,True,False,1,0,Approve
5,79907,26831,9102,26,17,2,19976.75,209402.9638723204,1,Valid,115840,93562.9638723204,0.25,0.8666666666666667,0.9546584049169173,1,False,False,False,True,False,False,True,False,1,1,Review
6,170710,13783,1571,23,13,1,37556.2,148507.8,1,Valid,186064,-37556.20000000001,0.21999999999999997,0.7666666666666667,0.2960391306894734,0,False,False,True,False,False,False,True,False,1,2,Approve
7,100467,16170,5125,21,2,3,22102.74,99659.26,1,Valid,121762,-22102.740000000005,0.22000000000000003,0.7,0.37727092478127144,0,False,False,True,False,False,False,False,False,1,3,Approve
8,72623,19609,6697,22,24,4,15977.06,82951.94,1,Valid,98929,-15977.059999999998,0.22,0.7333333333333333,0.47833719345111053,0,False,False,True,False,False,False,False,True,1,3,Approve
9,199564,45090,18543,28,4,0,9978.2,253218.8,-1,Valid,263197,-9978.200000000012,0.05,0.9333333333333333,0.4989103245074262,0,False,True,False,False,False,False,False,True,-1,0,Approve
