Employee_ID,Country,Department,Salary,Bonus,Overtime,Attendance,Experience,Leaves,Tax,Net_Pay,Total_Pay,Pay_Deviation,Tax_Ratio,Attendance_Ratio,Risk_Score,Fraud_Label
1,Germany,IT,99489,24448,2267,27,14,8,29846.699999999997,96357.3,126204,-29846.699999999997,0.3,0.9,0.39568685985385316,0
2,UAE,Operations,33381,32924,18651,20,20,5,1669.0500000000002,83286.95,84956,-1669.050000000003,0.05,0.6666666666666666,1.3106553129025493,0
3,UK,Sales,179310,25528,9688,26,20,0,39448.2,175077.8,214526,-39448.20000000001,0.21999999999999997,0.8666666666666667,0.36607517706764814,0
4,UAE,Sales,169867,31402,15065,22,11,2,8493.35,385156.33440376254,216334,168822.33440376254,0.05,0.7333333333333333,0.7807708402522489,1
5,UAE,Operations,87999,6352,10988,21,2,0,4399.95,100939.05,105339,-4399.949999999997,0.049999999999999996,0.7,0.4104468800781827,0
6,USA,Operations,74907,2184,4481,25,13,2,18726.75,92212.57812711799,81572,10640.578127117988,0.25,0.8333333333333334,0.3989169695507149,0
7,UK,Operations,165710,12384,929,22,13,1,36456.2,142566.8,179023,-36456.20000000001,0.21999999999999997,0.7333333333333333,0.289676784744433,0
8,UK,Finance,95467,16319,7773,20,9,4,21002.74,98556.26,119559,-21002.740000000005,0.22000000000000003,0.6666666666666666,0.40250953732703443,0
9,UK,Sales,67623,22449,3324,19,17,2,14877.06,78518.94,93396,-14877.059999999998,0.22,0.6333333333333333,0.49587391863715,0
10,UAE,Sales,194564,12426,4587,25,15,6,9728.2,201848.8,211577,-9728.200000000012,0.05,0.8333333333333334,0.34385158611048294,0
11,Germany,Finance,182483,9504,356,29,24,7,54744.9,137598.1,192343,-54744.899999999994,0.3,0.9666666666666667,0.24762761462711597,0
12,UK,Operations,135724,35368,15787,19,22,6,29859.28,157019.72,186879,-29859.28,0.22,0.6333333333333333,0.48620152662756766,0
13,UAE,IT,176606,34094,5499,25,23,1,8830.300000000001,207368.7,216199,-8830.299999999988,0.05,0.8333333333333334,0.43881810357519,0
14,USA,Operations,185253,16685,3841,22,21,9,46313.25,159465.75,205779,-46313.25,0.25,0.7333333333333333,0.3004864968448554,0
15,Germany,Operations,128069,10724,12122,25,22,9,38420.7,112494.3,150915,-38420.7,0.3,0.8333333333333334,0.3254065386627521,0
16,USA,Finance,44996,7084,13409,22,22,6,11249.0,54240.0,65489,-11249.0,0.25,0.7333333333333333,0.5140079118143835,0
17,Germany,Sales,130682,36810,7059,18,16,9,39204.6,135346.4,174551,-39204.600000000006,0.3,0.6,0.4395832631885034,0
18,UAE,Operations,108609,18741,665,29,10,2,5430.450000000001,122584.55,128015,-5430.449999999997,0.05000000000000001,0.9666666666666667,0.40946206115515293,0
19,India,Sales,185477,18761,10220,30,20,6,37095.4,177362.6,214458,-37095.399999999994,0.2,1.0,0.34386570841667696,0
20,Germany,HR,126490,15336,10774,28,12,0,37947.0,114653.0,152600,-37947.0,0.3,0.9333333333333333,0.3459759664795636,0
21,USA,Sales,96325,22872,553,28,5,1,24081.25,95668.75,119750,-24081.25,0.25,0.9333333333333333,0.3946568907344926,0
22,UAE,IT,53930,15414,13860,19,20,11,2696.5,80507.5,83204,-2696.5,0.05,0.6333333333333333,0.6392703504542926,0
23,Germany,IT,139426,6797,7045,23,17,9,41827.799999999996,111440.20000000001,153268,-41827.79999999999,0.3,0.7666666666666667,0.27444206962833334,0
24,India,Operations,42529,5307,9380,20,10,0,8505.800000000001,48710.2,57216,-8505.800000000003,0.20000000000000004,0.6666666666666666,0.4596830398081309,0
25,India,Sales,78546,34568,149,25,6,8,15709.2,97553.8,113263,-15709.199999999997,0.2,0.8333333333333334,0.5492073434675222,0
26,UK,Operations,32942,4596,16373,22,21,1,7247.24,46663.76,53911,-7247.239999999998,0.22,0.7333333333333333,0.6298776030599236,0
27,UK,Finance,32548,19167,13343,20,20,1,7160.56,57897.44,65058,-7160.559999999998,0.22,0.6666666666666666,0.8921879070910654,0
28,USA,IT,140248,24308,2853,29,6,5,35062.0,132347.0,167409,-35062.0,0.25,0.9666666666666667,0.3585306029319491,0
29,Germany,Operations,174368,26215,10128,27,12,6,52310.4,158400.6,210711,-52310.399999999994,0.3,0.9,0.35009049825656086,0
30,Germany,Finance,122780,13795,12580,24,21,1,36834.0,112321.0,149155,-36834.0,0.3,0.8,0.3501246131291741,0
31,UK,Operations,25296,16984,15254,25,19,3,5565.12,89628.52964743543,57534,32094.529647435425,0.22,0.8333333333333334,1.5124272175138609,1
32,Germany,Sales,92945,14134,2736,21,2,2,27883.5,81931.5,109815,-27883.5,0.3,0.7,0.3341099575017483,0
33,Germany,Sales,84980,12782,956,30,13,4,25494.0,73224.0,98718,-25494.0,0.3,1.0,0.3220381266180277,0
34,India,Sales,81782,23651,11440,30,22,8,16356.400000000001,100516.6,116873,-16356.399999999994,0.2,1.0,0.5263674158127706,0
35,UK,Sales,190301,26022,5180,28,20,1,41866.22,179636.78,221503,-41866.22,0.22,0.9333333333333333,0.3460509088233903,0
36,UAE,HR,121382,20922,8607,26,11,4,6069.1,144841.9,150911,-6069.100000000006,0.05,0.8666666666666667,0.4482004745349393,0
37,UK,Finance,78444,16618,11646,23,15,7,17257.68,89450.32,106708,-17257.679999999993,0.22,0.7666666666666667,0.4713693335373006,0
38,UAE,Finance,60036,19245,19029,18,13,5,3001.8,95308.2,98310,-3001.800000000003,0.05,0.6,0.6995662602438537,0
39,India,Sales,64322,20260,14342,22,3,3,12864.400000000001,86059.6,98924,-12864.399999999994,0.2,0.7333333333333333,0.5942675911818662,0
40,USA,HR,183239,12027,5013,22,14,9,45809.75,154469.25,200279,-45809.75,0.25,0.7333333333333333,0.28735954136401093,0
41,Germany,Sales,76667,15986,84,24,8,7,23000.1,69736.9,92737,-23000.100000000006,0.3,0.8,0.35661588427876395,0
42,India,HR,119527,5526,1935,24,9,2,23905.4,103082.6,126988,-23905.399999999994,0.2,0.8,0.28207584897136206,0
43,Germany,Sales,108337,28261,9608,23,15,3,32501.1,113704.9,146206,-32501.100000000006,0.3,0.7666666666666667,0.4458150954890757,0
44,USA,IT,76468,3622,9262,25,23,10,19117.0,70235.0,89352,-19117.0,0.25,0.8333333333333334,0.3308298896270335,0
45,USA,IT,97894,31533,11604,19,18,8,24473.5,116557.5,141031,-24473.5,0.25,0.6333333333333333,0.521601426032239,0
46,India,Operations,88138,37425,9713,30,8,4,17627.600000000002,117648.4,135276,-17627.600000000006,0.2,1.0,0.603354058408405,0
47,USA,Sales,47588,20316,17885,30,11,5,11897.0,73892.0,85789,-11897.0,0.25,1.0,0.7493380684206101,0
48,UAE,Finance,87901,10699,2473,24,5,11,4395.05,96677.95,101073,-4395.050000000003,0.05,0.8,0.38708188757807077,0
49,USA,Operations,173743,15955,735,27,15,10,43435.75,146997.25,190433,-43435.75,0.25,0.9,0.29181995821414386,0
50,Germany,IT,108038,33543,2838,24,15,1,32411.399999999998,112007.6,144419,-32411.399999999994,0.3,0.8,0.4430929858012922,0
51,Germany,Sales,187717,37424,2562,21,7,8,56315.1,171387.9,227703,-56315.100000000006,0.3,0.7,0.3577436779833473,0
52,Germany,Operations,163709,18673,13440,29,21,7,49112.7,146709.3,195822,-49112.70000000001,0.3,0.9666666666666667,0.3391016376619489,0
53,Germany,Sales,156732,25395,3906,27,18,6,47019.6,139013.4,186033,-47019.600000000006,0.3,0.9,0.33837263609218277,0
54,UAE,IT,132211,25707,1272,19,12,8,6610.55,152579.45,159190,-6610.549999999988,0.05,0.6333333333333333,0.426880025111375,0
55,UK,Operations,31922,21213,4836,21,12,4,7022.84,50948.16,57971,-7022.8399999999965,0.22,0.7,0.7900647829083391,0
56,India,IT,118697,12401,1862,21,4,4,23739.4,109220.6,132960,-23739.399999999994,0.2,0.7,0.3225454729268642,0
57,Germany,HR,142217,23196,4226,29,11,10,42665.1,126973.9,169639,-42665.100000000006,0.3,0.9666666666666667,0.3420010969152773,0
58,USA,IT,94506,27976,12610,29,21,10,23626.5,111465.5,135092,-23626.5,0.25,0.9666666666666667,0.5122748820180729,0
